"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"FUSE";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VOLTS";"VOUT";
"C1";"33uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"RC0805JR-1347KL";"";"68R0289";"";"";"";"";"";
"C2";"33uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"RC0805JR-1347KL";"";"68R0289";"";"";"";"";"";
"C3";"22pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"MC0805N220J501CT";"";"21T9850";"";"";"";"";"";
"C4";"22pf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"MC0805N220J501CT";"";"21T9850";"";"";"";"";"";
"C5";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"RC0805JR-1347KL";"";"68R0289";"";"";"";"";"";
"C8";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"RC0805JR-1347KL";"";"68R0289";"";"";"";"";"";
"C9";"33uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"RC0805JR-1347KL";"";"68R0289";"";"";"";"";"";
"D1";"BAS40";"BAS40";"SOT23";"Silicon Schottky Diodes";"";"";"";"";"";"";"";"";"";"5.6";"";
"D3";"BAS40";"BAS40";"SOT23";"Silicon Schottky Diodes";"";"";"";"";"";"";"";"";"";"5.6";"";
"FUSE1";"RESETTABLE_1210";"RESETTABLE_1210";"1210";"resettable fuse";"";"";"RAYCHEM/POLYSWITCH";"RGEF1000";"";"04H7797";"";"";"";"";"";
"FUSE2";"RESETTABLE_1210";"RESETTABLE_1210";"1210";"resettable fuse";"";"";"RAYCHEM/POLYSWITCH";"RGEF1000";"";"04H7797";"";"";"";"";"";
"IC1";"74HC595D";"74HC595D";"SO16";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"RED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"RED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";
"PAD1";"DB4";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD3";"BATVSS";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD5";"E";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD6";"510-";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD7";"BATGDN";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD8";"DB5";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD9";"RW";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD10";"RS";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD12";"DB6";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD13";"DB7";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD14";"FIRE+";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD15";"RAP5";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD16";"FIRE-";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD17";"RAP10";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD18";"RAP3";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD19";"RAP2";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD20";"RAP9";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD21";"UP+";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD22";"DOWN+";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD24";"LEDV0";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD25";"LCD+";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD26";"LCDGND";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD27";"UP-";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"PAD28";"DOWN-";"WIREPADSMD1,27-254";"SMD1,27-2,54";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
"Q3";"CSM-4A-SMD";"CSM-4A-SMD";"HC49/US";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10k ohms";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"CRCW080510K0FKEB";"";"26R4046";"";"";"";"";"";
"R2";"10k ohms";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"CRCW080510K0FKEB";"";"26R4046";"";"";"";"";"";
"R3";"10k ohms";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"CRCW0805220RJNEA";"";"59M6876";"";"";"";"";"";
"R4";".5 ohms";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"CRCW080510K0FKEB";"";"26R4046";"";"";"";"";"";
"R5";"10k ohms";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"CRCW080510K0FKEB";"";"26R4046";"";"";"";"";"";
